INFO:root:K: 0.02, Steps: 100, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.02, Steps: 150, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.02, Steps: 200, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.05, Steps: 5, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.05, Steps: 10, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.05, Steps: 50, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.05, Steps: 100, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.05, Steps: 150, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.05, Steps: 200, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.1, Steps: 5, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.1, Steps: 10, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.1, Steps: 50, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.1, Steps: 100, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.1, Steps: 150, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.1, Steps: 200, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.2, Steps: 5, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.2, Steps: 10, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.2, Steps: 50, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.2, Steps: 100, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.2, Steps: 150, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.2, Steps: 200, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.5, Steps: 5, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.5, Steps: 10, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.5, Steps: 50, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.5, Steps: 100, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.5, Steps: 150, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.5, Steps: 200, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 1, Steps: 5, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 1, Steps: 10, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 1, Steps: 50, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 1, Steps: 100, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 1, Steps: 150, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 1, Steps: 200, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 2, Steps: 5, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 2, Steps: 10, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 2, Steps: 50, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 2, Steps: 100, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 2, Steps: 150, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 2, Steps: 200, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 3, Steps: 5, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 3, Steps: 10, PSNR: 45.50507769171028, MSE: 183864.4766061913
